UI/GameTitle,Solar Mission EST,Solar Mission EST,Solar Mission EST
UI/OptionsMenu,Options,Options,Options
HelloWorld,HelloWorld!,HelloWorld!,HelloWorld!
GenericDialogueTest_00,Hello testing 1 2 3,Hello testing 1 2 3,Hello testing 1 2 3
GenericDialogueTest_01,Hello testing 4 5 6,Hello testing 4 5 6,Hello testing 4 5 6
UI/NewGameMenu,New Game,New Game,New Game
UI/ContinueMenu,Continue,Continue,Continue
UI/ExitMenu,Exit,Exit,Exit
UI/MusicAndSoundOptionsMenu,Music and sound,Music and sound,Music and sound
UI/MusicOptionsMenu,Music,Music,Music
UI/SoundOptionsMenu,Sound,Sound,Sound
UI/LanguageOptionsMenu,Language,Language,Language
UI/SpanishOptionsMenu,Spanish,Spanish,Spanish
UI/EnglishOptionsMenu,English,English,English
UI/BackOptionsMenu,Back,Back,Back
Lomnicky/Bienvenida_00,UV& do you copy me? I see you are going to @Lomnický štít Observatory|.%Great! This observatory has been monitoring the behavior of the @solar corona| for more than 60 years.,UV& do you copy me? I see you are going to Lomnický štít Observatory.%Great!This observatory has been monitoring the behavior of the solar corona for more than 60 years.,UV& do you copy me? I see you are going to @Lomnický štít Observatory|.%Great! This observatory has been monitoring the behavior of the @solar corona| for more than 60 years.
Lomnicky/Bienvenida_01,We need you to observe the corona to obtain more information about what is happening on the Sun!%And don't forget to test the new camera for EST... It will allow us to study the Sun in @different wavelengths| with a resolution never achieved before.,We need you to observe the corona to obtain more information about what is happening on the Sun!%And don't forget to test the new camera for EST... It will allow us to study the Sun in different wavelengths with a resolution never achieved before.,We need you to observe the corona to obtain more information about what is happening on the Sun!%And don't forget to test the new camera for EST... It will allow us to study the Sun in @different wavelengths| with a resolution never achieved before.
Lomnicky/Bienvenida_02,But& be careful... Strange things are happening ...%Good luck! (You will need it).,But& be careful... Strange things are happening ...%Good luck! (You will need it).,But& be careful... Strange things are happening ...%Good luck! (You will need it).
Lomnicky/PickSkill_00,Congratulations!%You now have the power of generating @$solar magnetic tornadoes$|!,Congratulations!%You now have the power of generating $solar magnetic tornadoes$!,Congratulations!%You now have the power of generating @$solar magnetic tornadoes$|!
Lomnicky/PickSkill_01,@Magnetic tornadoes| are plasma structures rotating in the solar atmosphere.%They can reach velocities of more than 10000 kilometers per hour.%This ability will help you accomplish your mission!,Magnetic tornadoes are plasma structures rotating in the solar atmosphere.%They can reach velocities of more than 10000 kilometers per hour.%This ability will help you accomplish your mission!,@Magnetic tornadoes| are plasma structures rotating in the solar atmosphere.%They can reach velocities of more than 10000 kilometers per hour.%This ability will help you accomplish your mission!
Lomnicky/Teleferico_00,@Auroras|! What??!!%They occur when particles launched from the Sun collide with the @Earth's magnetic field|. It's rare to see them at these low latitudes... and in daylight!,Auroras! What??!!%They occur when particles launched from the Sun collide with the Earth's magnetic field. It's rare to see them at these low latitudes... and in daylight!,@Auroras|! What??!!%They occur when particles launched from the Sun collide with the @Earth's magnetic field|. It's rare to see them at these low latitudes... and in daylight!
Lomnicky/Teleferico_01,Certainly& the solar activity must be very intense.%As much as my hunger.%I better hurry up!,Certainly& the solar activity must be very intense.%As much as my hunger.%I better hurry up!,Certainly& the solar activity must be very intense.%As much as my hunger.%I better hurry up!
Lomnicky/Teleferico_Enemies_00,Oh boy! Am I suffering from altitude sickness?%A bunch of invisible lamps are attacking me!%I need something to see them and beat them.,Oh boy! Am I suffering from altitude sickness?%A bunch of invisible lamps are attacking me!%I need something to see them and beat them.,Oh boy! Am I suffering from altitude sickness?%A bunch of invisible lamps are attacking me!%I need something to see them and beat them.
Lomnicky/Motor_00,Rats!%The cable car engine doesn't work.%The fuse is even more roasted than my breakfast this morning!,Rats!%The cable car engine doesn't work.%The fuse is even more roasted than my breakfast this morning!,Rats!%The cable car engine doesn't work.%The fuse is even more roasted than my breakfast this morning!
Lomnicky/Motor_01,Intense @solar storms| may affect the normal working of electrical systems.%I wonder if my toaster is ok.,Intense solar storms may affect the normal working of electrical systems.%I wonder if my toaster is ok.,Intense @solar storms| may affect the normal working of electrical systems.%I wonder if my toaster is ok.
Lomnicky/TCupula abierta_00,The best conditions for astronomical observations occur high in mountains.%But... it's snowing! And the telescope dome is open!%How is this possible?,The best conditions for astronomical observations occur high in mountains.%But... it's snowing! And the telescope dome is open!%How is this possible?,The best conditions for astronomical observations occur high in mountains.%But... it's snowing! And the telescope dome is open!%How is this possible?
Lomnicky/TCupula abierta_01,I have to CLOSE IT before the snow damages the telescope and Spectro kills me.,I have to CLOSE IT before the snow damages the telescope and Spectro kills me.,I have to CLOSE IT before the snow damages the telescope and Spectro kills me.
Lomnicky/Bloqueo escaleras,Wait! What am I doing?%It's not lunchtime yet!%I have to close the dome before the snow damages the telescope!,Wait! What am I doing?%It's not lunchtime yet!%I have to close the dome before the snow damages the telescope!,Wait! What am I doing?%It's not lunchtime yet!%I have to close the dome before the snow damages the telescope!
Lomnicky/Unlock code,Oh no! I never remember the code to close the dome!%Is it my cat’s birthday ...?%Where did I write it down?,Oh no! I never remember the code to close the dome!%Is it my cat’s birthday ...?%Where did I write it down?,Oh no! I never remember the code to close the dome!%Is it my cat’s birthday ...?%Where did I write it down?
Lomnicky/AyudaObservacion_00,Thank goodness!%But it is impossible to observe anything with this snowstorm.%I'll ask Eclipse to use the @Swedish Solar Telescope (SST)|.,Thank goodness!%But it is impossible to observe anything with this snowstorm.%I'll ask Eclipse to use the Swedish Solar Telescope (SST).,Thank goodness!%But it is impossible to observe anything with this snowstorm.%I'll ask Eclipse to use the @Swedish Solar Telescope (SST)|.
Lomnicky/Bloqueo Azotea,I should ask for help first.,I should ask for help first.,I should ask for help first.
Lomnicky/Ayudapc_ 00,Eclipse!%Do you copy?%I need your help! ,Eclipse!%Do you copy?%I need your help! ,Eclipse!%Do you copy?%I need your help! 
Lomnicky/Ayudapc_ 01,A blizzard is preventing me from using the telescope.%Can you make some observations at the @SST|?,A blizzard is preventing me from using the telescope.%Can you make some observations at the SST?,A blizzard is preventing me from using the telescope.%Can you make some observations at the @SST|?
Lomnicky/Ayudapc_ 02,Roger that!%But you owe me a meal.%Or better& two.,Roger that!%But you owe me a meal.%Or better& two.,Roger that!%But you owe me a meal.%Or better& two.
Lomnicky/EclipseRecogidaDatos_00,UV& I'm freaking out!%The @solar magnetic field| is now even crazier than Spectro at the Christmas party! The activity has become increasingly explosive.%The consequences for Earth are unpredictable...,UV& I'm freaking out!%The solar magnetic field is now even crazier than Spectro at the Christmas party! The activity has become increasingly explosive.%The consequences for Earth are unpredictable...,UV& I'm freaking out!%The @solar magnetic field| is now even crazier than Spectro at the Christmas party! The activity has become increasingly explosive.%The consequences for Earth are unpredictable...
Lomnicky/EclipseRecogidaDatos_01,So... when are you taking me out for lunch?,So... when are you taking me out for lunch?,So... when are you taking me out for lunch?
Lomnicky/EclipseRecogidaDatos_02,When are you taking me out for lunch?,When are you taking me out for lunch?,When are you taking me out for lunch?
Lomnicky/EclipseRecogidaDatos_03,Before that& I must calibrate the camera and send it to the @European Solar Telescope| as soon as possible.%It's the only way to understand what's happening on the Sun...,Before that& I must calibrate the camera and send it to the European Solar Telescope as soon as possible.%It's the only way to understand what's happening on the Sun...,Before that& I must calibrate the camera and send it to the @European Solar Telescope| as soon as possible.%It's the only way to understand what's happening on the Sun...
Lomnicky/EclipseRecogidaDatos_04,Do you mind if I order some pizza& instead?,Do you mind if I order some pizza& instead?,Do you mind if I order some pizza& instead?
Lomnicky/SpectroCamara_00,UV& the snowstorm is over.%We need you to test the camera and take it to @EST| immediately!,UV& the snowstorm is over.%We need you to test the camera and take it to EST immediately!,UV& the snowstorm is over.%We need you to test the camera and take it to @EST| immediately!
Lomnicky/SpectroCamara_01,I know! But first& I have to find all the pieces!%Someone has spread them all around the observatory as if they were breadcrumbs!,I know! But first& I have to find all the pieces!%Someone has spread them all around the observatory as if they were breadcrumbs!,I know! But first& I have to find all the pieces!%Someone has spread them all around the observatory as if they were breadcrumbs!
Lomnicky/SpectroCamara_02,Well& stop thinking about food and hurry up!,Well& stop thinking about food and hurry up!,Well& stop thinking about food and hurry up!
