UI/GameTitle,Solar Mission EST,Solar Mission EST,Solar Mission EST
UI/OptionsMenu,Options,Options,Options
HelloWorld,HelloWorld!,HelloWorld!,HelloWorld!
GenericDialogueTest_00,Hello testing 1 2 3,Hello testing 1 2 3,Hello testing 1 2 3
GenericDialogueTest_01,Hello testing 4 5 6,Hello testing 4 5 6,Hello testing 4 5 6
UI/NewGameMenu,New Game,New Game,New Game
UI/ContinueMenu,Continue,Continue,Continue
UI/ExitMenu,Exit,Exit,Exit
UI/MusicAndSoundOptionsMenu,Music and sound,Music and sound,Music and sound
UI/MusicOptionsMenu,Music,Music,Music
UI/SoundOptionsMenu,Sound,Sound,Sound
UI/LanguageOptionsMenu,Language,Language,Language
UI/SpanishOptionsMenu,Spanish,Spanish,Spanish
UI/EnglishOptionsMenu,English,English,English
UI/BackOptionsMenu,Back,Back,Back
Lomnicky/Bienvenida_00,UV& do you copy me? I see you are going to Lomnický štít Observatory,UV& do you copy me? I see you are going to Lomnický štít Observatory,UV& do you copy me? I see you are going to Lomnický štít Observatory
Lomnicky/Bienvenida_01,Great!%This observatory has been monitoring the behavior of the solar corona for more than 60 years.,Great!%This observatory has been monitoring the behavior of the solar corona for more than 60 years.,Great!%This observatory has been monitoring the behavior of the solar corona for more than 60 years.
Lomnicky/Bienvenida_02,It's just what we need right now!%The Sun is reaching the highest levels of activity ever recorded. ,It's just what we need right now!%The Sun is reaching the highest levels of activity ever recorded. ,It's just what we need right now!%The Sun is reaching the highest levels of activity ever recorded. 
Lomnicky/Bienvenida_03,We need you to observe the corona to obtain more information about what is happening!,We need you to observe the corona to obtain more information about what is happening!,We need you to observe the corona to obtain more information about what is happening!
Lomnicky/Bienvenida_04,Above all& don't forget to test the new camera for EST.,Above all& don't forget to test the new camera for EST.,Above all& don't forget to test the new camera for EST.
Lomnicky/Bienvenida_05,Thanks to it& we will be able to study the Sun in different wavelengths with a resolution never achieved before.,Thanks to it& we will be able to study the Sun in different wavelengths with a resolution never achieved before.,Thanks to it& we will be able to study the Sun in different wavelengths with a resolution never achieved before.
Lomnicky/Bienvenida_06,But& be careful. Strange things... are happening...,But& be careful. Strange things... are happening...,But& be careful. Strange things... are happening...
Lomnicky/Bienvenida_07,Good luck! (You will need it).,Good luck! (You will need it).,Good luck! (You will need it).
Lomnicky/PickSkill_00,Congratulations!%You now have the power of generating $solar magnetic tornadoes$!,Congratulations!%You now have the power of generating $solar magnetic tornadoes$!,Congratulations!%You now have the power of generating $solar magnetic tornadoes$!
Lomnicky/PickSkill_01,Magnetic tornadoes are plasma structures rotating in the atmosphere of the Sun.,Magnetic tornadoes are plasma structures rotating in the atmosphere of the Sun.,Magnetic tornadoes are plasma structures rotating in the atmosphere of the Sun.
Lomnicky/PickSkill_02,They can reach velocities of more than 10000 kilometres per hour.,They can reach velocities of more than 10000 kilometres per hour.,They can reach velocities of more than 10000 kilometres per hour.
Lomnicky/PickSkill_03,This ability will help you accomplish your mission!,This ability will help you accomplish your mission!,This ability will help you accomplish your mission!
Lomnicky/Teleferico_00,An aurora!%What??!! ,An aurora!%What??!! ,An aurora!%What??!! 
Lomnicky/Teleferico_01,They occur when particles launched from the Sun collide with the Earth's magnetic field.%It's rare to see them at these low latitudes... ,They occur when particles launched from the Sun collide with the Earth's magnetic field.%It's rare to see them at these low latitudes... ,They occur when particles launched from the Sun collide with the Earth's magnetic field.%It's rare to see them at these low latitudes... 
Lomnicky/Teleferico_02,Certainly& the solar activity must be very intense.%As much as my hunger.%I better hurry up!,Certainly& the solar activity must be very intense.%As much as my hunger.%I better hurry up!,Certainly& the solar activity must be very intense.%As much as my hunger.%I better hurry up!
Lomnicky/Teleferico_Enemies_01,Oh boy!%Am I suffering from altitude sickness?%A bunch of invisible lamps are attacking me! ,Oh boy!%Am I suffering from altitude sickness?%A bunch of invisible lamps are attacking me! ,Oh boy!%Am I suffering from altitude sickness?%A bunch of invisible lamps are attacking me! 
Lomnicky/Teleferico_Enemies_02,I need something to see them and beat them.,I need something to see them and beat them.,I need something to see them and beat them.
Lomnicky/Motor_00,Rats!%The cable car engine doesn't work.%The fuse is even more roasted than my breakfast this morning!,Rats!%The cable car engine doesn't work.%The fuse is even more roasted than my breakfast this morning!,Rats!%The cable car engine doesn't work.%The fuse is even more roasted than my breakfast this morning!
Lomnicky/Motor_01,Intense solar storms may affect the normal working of electrical systems.%I wonder if my toaster is ok.,Intense solar storms may affect the normal working of electrical systems.%I wonder if my toaster is ok.,Intense solar storms may affect the normal working of electrical systems.%I wonder if my toaster is ok.
Lomnicky/TCupula abierta_00,The best conditions for astronomical observations occur high in mountains.%But...,The best conditions for astronomical observations occur high in mountains.%But...,The best conditions for astronomical observations occur high in mountains.%But...
Lomnicky/TCupula abierta_01,It's snowing! And the telescope dome is open! How is this possible?,It's snowing! And the telescope dome is open! How is this possible?,It's snowing! And the telescope dome is open! How is this possible?
Lomnicky/TCupula abierta_02,I have to CLOSE IT before the snow damages the telescope and Spectro kills me.,I have to CLOSE IT before the snow damages the telescope and Spectro kills me.,I have to CLOSE IT before the snow damages the telescope and Spectro kills me.
Lomnicky/Bloqueo escaleras,Wait! What am I doing? It's not lunchtime yet! I have to close the dome before the snow damages the telescope!,Wait! What am I doing? It's not lunchtime yet! I have to close the dome before the snow damages the telescope!,Wait! What am I doing? It's not lunchtime yet! I have to close the dome before the snow damages the telescope!
Lomnicky/Unlock code,Oh no!%I never remember the code to close the dome! Is it my cat’s birthday ...?%Where did I write it down?,Oh no!%I never remember the code to close the dome! Is it my cat’s birthday ...?%Where did I write it down?,Oh no!%I never remember the code to close the dome! Is it my cat’s birthday ...?%Where did I write it down?
Lomnicky/AyudaObservacion_00,Thank goodness!%But it is impossible to observe anything with this snowstorm.,Thank goodness!%But it is impossible to observe anything with this snowstorm.,Thank goodness!%But it is impossible to observe anything with this snowstorm.
Lomnicky/AyudaObservacion_01,I'll ask Eclipse to use the Swedish Solar Telescope (SST).,I'll ask Eclipse to use the Swedish Solar Telescope (SST).,I'll ask Eclipse to use the Swedish Solar Telescope (SST).
Lomnicky/Bloqueo Azotea,I should ask for help first.,I should ask for help first.,I should ask for help first.
Lomnicky/Ayudapc_ 00,Eclipse!%Do you copy?%I need your help! ,Eclipse!%Do you copy?%I need your help! ,Eclipse!%Do you copy?%I need your help! 
Lomnicky/Ayudapc_ 01,A blizzard is preventing me from using the telescope.%Can you make some observations at the SST?,A blizzard is preventing me from using the telescope.%Can you make some observations at the SST?,A blizzard is preventing me from using the telescope.%Can you make some observations at the SST?
Lomnicky/Ayudapc_ 02,Roger that! But you owe me a meal. ,Roger that! But you owe me a meal. ,Roger that! But you owe me a meal. 
Lomnicky/Ayudapc_ 03,Or better& two.,Or better& two.,Or better& two.
Lomnicky/EclipseRecogidaDatos 00,UV& I'm freaking out! ,UV& I'm freaking out! ,UV& I'm freaking out! 
Lomnicky/EclipseRecogidaDatos 01,The solar magnetic field is now even crazier than Spectro at the Christmas party! ,The solar magnetic field is now even crazier than Spectro at the Christmas party! ,The solar magnetic field is now even crazier than Spectro at the Christmas party! 
Lomnicky/EclipseRecogidaDatos 02,The activity has become increasingly explosive.%The consequences for the Earth are unpredictable...,The activity has become increasingly explosive.%The consequences for the Earth are unpredictable...,The activity has become increasingly explosive.%The consequences for the Earth are unpredictable...
Lomnicky/EclipseRecogidaDatos 03,So...,So...,So...
Lomnicky/EclipseRecogidaDatos 04,When are you taking me out for lunch?,When are you taking me out for lunch?,When are you taking me out for lunch?
Lomnicky/EclipseRecogidaDatos 05,Before that& I must calibrate the camera and send it to the European Solar Telescope as soon as possible.,Before that& I must calibrate the camera and send it to the European Solar Telescope as soon as possible.,Before that& I must calibrate the camera and send it to the European Solar Telescope as soon as possible.
Lomnicky/EclipseRecogidaDatos 06,It's the only way to understand what's happening on the Sun...,It's the only way to understand what's happening on the Sun...,It's the only way to understand what's happening on the Sun...
Lomnicky/EclipseRecogidaDatos 07,Do you mind if I order some pizza& instead?,Do you mind if I order some pizza& instead?,Do you mind if I order some pizza& instead?
Lomnicky/SpectroCamara,UV& the snowstorm is over. We need you to test the camera and take it to EST immediately!,UV& the snowstorm is over. We need you to test the camera and take it to EST immediately!,UV& the snowstorm is over. We need you to test the camera and take it to EST immediately!
